When was the date of your most recent flight?,Progress,Duration (in seconds),Finished,Response ID,Where was your originating airport?,Where was your destination airport?,"Overall, were you satisfied with the pre flight experience at your originating airport?","Overall, were you satisfied with the pre flight experience at your destination airport?",Did your flight leave on time?,Did you find the seats comfortable?,Are you currently one of our rewards members?,Please enter your rewards number,Were the seats comfortable?,What type of travel were you doing?,What gender do you identify as?,What is your age?
21/04/2021 00:00:00,100,0,True,R_6z26Zlk7klgpaQt,Orlando,Orlando,Unsatisfied,Unsatisfied,Might or might not,Might or might not,No,67372,Moderately uncomfortable,Business,Prefer not to say,29
29/08/2021 00:00:00,100,0,True,R_9Z7018VExgI8Kah,Saint Louis,Chicago,Unsatisfied,Unsatisfied,Might or might not,Probably not,No,89742,Extremely uncomfortable,Personal,Female,19
08/11/2021 00:00:00,100,0,True,R_aWzfkdeRTdvT5kN,Orlando,Seattle,Unsatisfied,Unsatisfied,Probably not,Definitely yes,Yes,92936,Slightly comfortable,Business,Non-binary / third gender,41
10/11/2021 00:00:00,100,0,True,R_8rjGujP4El8wnvT,Denver,Dallas,Satisfied,Unsatisfied,Might or might not,Might or might not,Yes,16425,Slightly comfortable,Personal,Female,30
29/12/2021 00:00:00,100,0,True,R_5v7E8yJf5lZPdid,New York,New York,Unsatisfied,Satisfied,Definitely not,Might or might not,No,85993,Extremely comfortable,Personal,Prefer not to say,51
18/12/2021 00:00:00,100,0,True,R_8w8hgoMneOcoubj,Chicago,Chicago,Unsatisfied,Unsatisfied,Definitely not,Probably not,No,44490,Extremely comfortable,Personal,Female,28
18/04/2021 00:00:00,100,0,True,R_55NEw5j5tW5didv,Orlando,Saint Louis,Satisfied,Satisfied,Probably not,Definitely not,Yes,93504,Slightly comfortable,Personal,Non-binary / third gender,49
02/04/2021 00:00:00,100,0,True,R_2ukMyRpvM4oQP9r,Los Angeles,Los Angeles,Satisfied,Unsatisfied,Probably not,Probably yes,Yes,19206,Slightly comfortable,Business,Non-binary / third gender,49
18/02/2021 00:00:00,100,0,True,R_1Us6879ybJw3mYd,Saint Louis,Denver,Satisfied,Satisfied,Might or might not,Probably not,No,46509,Slightly comfortable,Personal,Female,54
07/11/2021 00:00:00,100,0,True,R_dpvWlgHS6aVWKy1,Dallas,Orlando,Unsatisfied,Satisfied,Probably not,Definitely not,No,44437,Extremely uncomfortable,Personal,Female,45
08/12/2021 00:00:00,100,0,True,R_8BmPY1UX3jOdD37,Los Angeles,Denver,Unsatisfied,Satisfied,Definitely not,Probably not,Yes,30791,Neither comfortable nor uncomfortable,Personal,Male,39
21/05/2021 00:00:00,100,0,True,R_3ltvnWD2GNPTw6F,Denver,Saint Louis,Unsatisfied,Satisfied,Might or might not,Definitely not,No,81241,Moderately comfortable,Personal,Female,19
10/12/2021 00:00:00,100,0,True,R_9HyaGWjvXgSZe05,Saint Louis,Chicago,Unsatisfied,Satisfied,Definitely not,Definitely not,Yes,97575,Extremely uncomfortable,Business,Prefer not to say,49
26/02/2021 00:00:00,100,0,True,R_7OkjRtSbwF7CXqt,Dallas,Seattle,Unsatisfied,Satisfied,Definitely not,Probably not,Yes,33986,Moderately comfortable,Personal,Female,54
20/03/2021 00:00:00,100,0,True,R_4TTsDEKkRAC4yCV,Denver,Chicago,Unsatisfied,Unsatisfied,Definitely yes,Might or might not,No,31863,Neither comfortable nor uncomfortable,Personal,Male,22
16/10/2021 00:00:00,100,0,True,R_3DGzJJHh3pgUidD,Los Angeles,Saint Louis,Satisfied,Satisfied,Definitely not,Probably not,Yes,71444,Moderately comfortable,Business,Prefer not to say,22
24/09/2021 00:00:00,100,0,True,R_eONx4uKBHfGtOJL,Seattle,New York,Unsatisfied,Satisfied,Definitely not,Probably not,No,33584,Extremely comfortable,Business,Female,33
26/05/2021 00:00:00,100,0,True,R_6yhnlYnRy2ix509,Seattle,Los Angeles,Satisfied,Satisfied,Definitely not,Might or might not,No,99295,Extremely comfortable,Personal,Prefer not to say,29
06/12/2021 00:00:00,100,0,True,R_9meeUmMnh5EXDeJ,Los Angeles,New York,Unsatisfied,Unsatisfied,Probably yes,Might or might not,Yes,15809,Slightly uncomfortable,Personal,Male,51
14/05/2021 00:00:00,100,0,True,R_1BIO7zptGVqSNmd,Los Angeles,Saint Louis,Unsatisfied,Unsatisfied,Definitely yes,Might or might not,Yes,45121,Slightly uncomfortable,Business,Prefer not to say,35
22/06/2021 00:00:00,100,0,True,R_8ew3nEFsUWWeoM5,Seattle,Los Angeles,Unsatisfied,Unsatisfied,Probably yes,Definitely yes,No,85035,Neither comfortable nor uncomfortable,Personal,Male,40
10/10/2021 00:00:00,100,0,True,R_85DeAndtygkTsZT,Los Angeles,New York,Satisfied,Satisfied,Might or might not,Definitely not,No,80584,Slightly uncomfortable,Personal,Female,28
13/11/2021 00:00:00,100,0,True,R_eVigcY7Cavl9LaB,Chicago,Dallas,Satisfied,Unsatisfied,Probably not,Might or might not,No,61666,Slightly uncomfortable,Business,Non-binary / third gender,32
03/02/2021 00:00:00,100,0,True,R_0olHeNOJUFha4nP,Seattle,Seattle,Satisfied,Satisfied,Definitely yes,Probably not,No,96118,Slightly uncomfortable,Personal,Male,46
24/08/2021 00:00:00,100,0,True,R_a2vJl27bYXuFBI1,Chicago,New York,Unsatisfied,Unsatisfied,Might or might not,Definitely not,No,56341,Moderately uncomfortable,Business,Non-binary / third gender,54
14/04/2021 00:00:00,100,0,True,R_3JBJItD3ELQb6T3,Chicago,Los Angeles,Satisfied,Unsatisfied,Might or might not,Probably yes,No,23125,Moderately comfortable,Business,Non-binary / third gender,29
11/02/2021 00:00:00,100,0,True,R_a2YStAFZ83zloEZ,Seattle,New York,Unsatisfied,Satisfied,Definitely not,Definitely not,No,36263,Slightly uncomfortable,Business,Non-binary / third gender,36
05/03/2021 00:00:00,100,0,True,R_emO1B430MfhygeN,Orlando,Chicago,Unsatisfied,Satisfied,Probably yes,Probably not,No,48760,Neither comfortable nor uncomfortable,Business,Non-binary / third gender,30
25/06/2021 00:00:00,100,0,True,R_bsc3pnUo9IWTJU9,Dallas,Seattle,Unsatisfied,Satisfied,Might or might not,Definitely yes,Yes,57103,Slightly comfortable,Personal,Prefer not to say,26
10/02/2021 00:00:00,100,0,True,R_0rBpbrAtMDDJq7P,Seattle,Orlando,Satisfied,Satisfied,Probably yes,Probably yes,Yes,93649,Extremely uncomfortable,Personal,Female,46
24/07/2021 00:00:00,100,0,True,R_5hv5Q00CBH9vY2h,Dallas,Saint Louis,Unsatisfied,Satisfied,Definitely not,Definitely not,Yes,17092,Slightly uncomfortable,Personal,Male,41
24/06/2021 00:00:00,100,0,True,R_8vvEAzYFWcMQpMh,Denver,Denver,Unsatisfied,Satisfied,Probably yes,Probably not,Yes,52285,Slightly uncomfortable,Personal,Non-binary / third gender,33
28/08/2021 00:00:00,100,1,True,R_eRvFB5Wd8mOY1Vz,Denver,Los Angeles,Satisfied,Satisfied,Probably yes,Probably not,Yes,68288,Extremely comfortable,Personal,Prefer not to say,21
03/04/2021 00:00:00,100,0,True,R_3w03EVVUU3VM6Wx,Orlando,Saint Louis,Unsatisfied,Unsatisfied,Might or might not,Probably yes,No,25926,Slightly comfortable,Business,Female,22
03/07/2021 00:00:00,100,0,True,R_bIdMmT3PYJKmevH,Seattle,Dallas,Unsatisfied,Unsatisfied,Probably not,Definitely yes,No,12407,Extremely uncomfortable,Business,Male,36
31/03/2021 00:00:00,100,0,True,R_6Gviw4UYrBcnaM5,New York,New York,Satisfied,Satisfied,Definitely not,Definitely yes,Yes,12835,Slightly uncomfortable,Business,Male,35
27/05/2021 00:00:00,100,0,True,R_0V7qIxJ4DhgAayh,Orlando,Seattle,Satisfied,Satisfied,Definitely not,Probably not,Yes,37267,Slightly comfortable,Business,Male,46
28/02/2021 00:00:00,100,0,True,R_8HO6HwBsLvVNU8Z,New York,New York,Satisfied,Satisfied,Definitely yes,Definitely not,Yes,98178,Moderately comfortable,Business,Male,23
25/01/2021 00:00:00,100,0,True,R_1Z9m49tgNf6i137,Orlando,Saint Louis,Satisfied,Unsatisfied,Definitely not,Might or might not,No,48077,Neither comfortable nor uncomfortable,Personal,Prefer not to say,19
03/08/2021 00:00:00,100,0,True,R_6Ps2GZ5jOb6AnE9,Dallas,Denver,Unsatisfied,Satisfied,Definitely not,Probably yes,Yes,41933,Moderately comfortable,Business,Prefer not to say,31
06/06/2021 00:00:00,100,0,True,R_bqkBagEETysLqnP,Seattle,New York,Unsatisfied,Unsatisfied,Definitely not,Definitely yes,Yes,93397,Slightly uncomfortable,Business,Non-binary / third gender,24
29/10/2021 00:00:00,100,0,True,R_dao3PIKAOB6NND7,Denver,Denver,Unsatisfied,Satisfied,Definitely not,Might or might not,No,42871,Moderately uncomfortable,Personal,Non-binary / third gender,39
29/06/2021 00:00:00,100,0,True,R_5aoknmnQpvNkojH,Orlando,New York,Unsatisfied,Satisfied,Probably yes,Probably yes,No,28652,Slightly uncomfortable,Personal,Male,42
09/10/2021 00:00:00,100,0,True,R_4OW92MnqhqGr4S9,New York,Denver,Unsatisfied,Satisfied,Definitely not,Might or might not,Yes,77348,Neither comfortable nor uncomfortable,Business,Male,34
18/05/2021 00:00:00,100,0,True,R_d73B1oc43CmC4rH,Denver,Saint Louis,Unsatisfied,Unsatisfied,Definitely yes,Probably yes,No,30475,Extremely uncomfortable,Personal,Male,37
01/06/2021 00:00:00,100,0,True,R_d7qFioFWCNgWdKd,Chicago,New York,Unsatisfied,Satisfied,Definitely not,Might or might not,No,91873,Extremely uncomfortable,Business,Prefer not to say,33
26/07/2021 00:00:00,100,0,True,R_es49ZVgTEXYPKgl,Denver,Saint Louis,Unsatisfied,Unsatisfied,Definitely yes,Probably yes,No,23594,Slightly comfortable,Personal,Male,38
20/03/2021 00:00:00,100,0,True,R_2c8uFaazwP9DTaR,Dallas,Denver,Satisfied,Satisfied,Definitely yes,Definitely not,No,85002,Extremely comfortable,Personal,Male,53
24/07/2021 00:00:00,100,0,True,R_9zaG5tNTIo0VuMB,Orlando,Los Angeles,Satisfied,Unsatisfied,Probably yes,Might or might not,No,57186,Extremely comfortable,Business,Prefer not to say,53
16/12/2021 00:00:00,100,0,True,R_bEnVatYZKofkcHb,Seattle,Seattle,Satisfied,Unsatisfied,Probably not,Definitely yes,No,22454,Slightly comfortable,Personal,Male,28
26/12/2021 00:00:00,100,0,True,R_djzKfyFmjlbDlJz,Chicago,Seattle,Satisfied,Unsatisfied,Probably yes,Might or might not,Yes,95929,Moderately comfortable,Personal,Male,43
30/06/2021 00:00:00,100,0,True,R_2rvk7vGnvgYjCoB,Dallas,Los Angeles,Satisfied,Unsatisfied,Might or might not,Might or might not,Yes,23715,Extremely uncomfortable,Personal,Non-binary / third gender,30
21/12/2021 00:00:00,100,0,True,R_3aS0M0shmIbYEx7,New York,Los Angeles,Unsatisfied,Satisfied,Probably yes,Might or might not,No,37727,Slightly uncomfortable,Personal,Non-binary / third gender,24
02/07/2021 00:00:00,100,0,True,R_0HYhmr2pSaAIgp7,Denver,Seattle,Unsatisfied,Unsatisfied,Definitely yes,Definitely yes,Yes,93098,Extremely uncomfortable,Business,Prefer not to say,33
28/10/2021 00:00:00,100,0,True,R_6G1tJLxwfXfAwdv,Dallas,Seattle,Unsatisfied,Unsatisfied,Probably yes,Probably yes,Yes,54801,Neither comfortable nor uncomfortable,Personal,Non-binary / third gender,35
24/11/2021 00:00:00,100,0,True,R_5mUF6AW6uGblrCd,Orlando,Chicago,Unsatisfied,Unsatisfied,Might or might not,Probably not,Yes,87264,Moderately comfortable,Business,Non-binary / third gender,39
19/05/2021 00:00:00,100,0,True,R_3w4TDqPf8T7Bb3D,Orlando,Los Angeles,Satisfied,Unsatisfied,Probably not,Might or might not,Yes,85620,Slightly comfortable,Business,Non-binary / third gender,27
