Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When was the date of your most recent flight?,Where was your originating airport?,Where was your destination airport?,"Overall, were you satisfied with the pre flight experience at your originating airport?","Overall, were you satisfied with the pre flight experience at your destination airport?",Did your flight leave on time?,Did you find the seats comfortable?,Are you currently one of our rewards members?,Please enter your rewards number,Were the seats comfortable?,What type of travel were you doing?,What gender do you identify as?,What is your age?
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_098WwOWKPphMtud,,,,,37.44050598,-122.1477966,test,,6/4/20,Chicago,Los Angeles,Unsatisfied,Unsatisfied,Definitely not,Definitely yes,No,23999,Extremely comfortable,Business,Non-binary / third gender,35
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_6XxTslY892IpECF,,,,,37.44050598,-122.1477966,test,,7/12/20,New York,Saint Louis,Satisfied,Unsatisfied,Definitely not,Might or might not,Yes,37914,Slightly comfortable,Business,Non-binary / third gender,52
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_4MdyzSdosTR0mOh,,,,,37.44050598,-122.1477966,test,,9/9/20,Chicago,Saint Louis,Unsatisfied,Satisfied,Definitely not,Definitely yes,Yes,45728,Moderately uncomfortable,Personal,Prefer not to say,40
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_50fbCQyeWzqBBIx,,,,,37.44050598,-122.1477966,test,,10/6/20,Los Angeles,Saint Louis,Unsatisfied,Satisfied,Might or might not,Definitely not,No,51804,Moderately uncomfortable,Business,Female,52
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_8oCxyxoNLEk4qtD,,,,,37.44050598,-122.1477966,test,,11/30/20,Los Angeles,Los Angeles,Satisfied,Satisfied,Definitely yes,Definitely not,No,67291,Neither comfortable nor uncomfortable,Personal,Male,39
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_0BNT0RTzn9QWnFr,,,,,37.44050598,-122.1477966,test,,7/3/20,Los Angeles,Seattle,Satisfied,Unsatisfied,Probably not,Might or might not,Yes,46712,Moderately comfortable,Personal,Non-binary / third gender,39
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_cOVbNpeP73eYnrL,,,,,37.44050598,-122.1477966,test,,5/12/20,Orlando,Orlando,Unsatisfied,Unsatisfied,Probably yes,Definitely yes,No,54811,Slightly uncomfortable,Personal,Prefer not to say,19
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_7X2wT3T1EGtP8P3,,,,,37.44050598,-122.1477966,test,,3/22/20,Los Angeles,Denver,Satisfied,Satisfied,Definitely yes,Definitely not,No,87264,Moderately uncomfortable,Business,Female,34
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,0,TRUE,12/21/20 14:01,R_8xhyxJI0cJNZr8h,,,,,37.44050598,-122.1477966,test,,8/15/20,Chicago,Chicago,Satisfied,Unsatisfied,Probably yes,Definitely yes,No,99163,Slightly uncomfortable,Business,Male,54
12/21/20 14:01,12/21/20 14:01,Survey Test,,100,1,TRUE,12/21/20 14:01,R_6RxVIJO47qYAsux,,,,,37.44050598,-122.1477966,test,,4/5/20,New York,Saint Louis,Satisfied,Satisfied,Definitely yes,Probably yes,No,26985,Neither comfortable nor uncomfortable,Personal,Male,20
